workload1,workload2,freq1,freq2,iterations,w1_proposal_percentage,w2_proposal_percentage,w1_fair_percentage,w2_fair_percentage,w1_optimal_percentage,w2_optimal_percentage,total_throughput_at_selected,w1_throughput_at_selected,w2_throughput_at_selected,w1_arrival,w2_arrival,w1_change_factor,w2_change_factor,w1_residual_selected,w2_residual_selected
albert-base-v2_batch2-train,albert-base-v2_batch2-train,300.0,300.0,2,80.0,80.0,50.0,50.0,50.0,50.0,5.398,2.699,2.699,4.98087699012719,4.98087699012719,0.845452756623635,0.845452756623635,-2.2818769901271905,-2.2818769901271905
albert-base-v2_batch2-train,bert-base-cased_batch2-inf,300.0,300.0,2,80.0,90.0,47.05882352941177,52.94117647058824,50.0,50.0,10.917,2.712,8.205,4.98087699012719,15.597551237689649,0.8366065597814122,0.9009812599256123,-2.26887699012719,-7.3925512376896485
albert-base-v2_batch2-train,bert-base-cased_batch2-train,300.0,300.0,2,80.0,60.0,57.142857142857146,42.85714285714286,60.0,40.0,5.337,3.256,2.081,4.98087699012719,4.641879871038824,0.5297533753461888,1.230600610782712,-1.7248769901271905,-2.5608798710388236
albert-base-v2_batch2-train,cudaTensorCoreGemm_batch2-cuda_samples,300.0,300.0,2,80.0,80.0,50.0,50.0,50.0,50.0,25.835,2.676,23.159,4.98087699012719,49.26108374384236,0.8613142713479783,1.127081641860286,-2.30487699012719,-26.102083743842364
albert-base-v2_batch2-train,fastWalshTransform_batch2-cuda_samples,300.0,300.0,2,80.0,60.0,57.142857142857146,42.85714285714286,60.0,40.0,15.097999999999999,3.11,11.988,4.98087699012719,25.884299,0.6015681640280356,1.1591841007674342,-1.8708769901271904,-13.896298999999999
albert-base-v2_batch2-train,mobilenet_batch2-train,300.0,300.0,2,80.0,40.0,66.66666666666667,33.333333333333336,70.0,30.0,42.795,3.686,39.109,4.98087699012719,52.38470229739446,0.3512959821289176,0.339453892899191,-1.2948769901271904,-13.27570229739446
albert-base-v2_batch2-train,mobilenet_v2_1.0_224_batch2-inf,300.0,300.0,2,80.0,37.77229134275758,67.9276925734362,32.07230742656379,70.0,30.0,68.432,3.679,64.753,4.98087699012719,81.52897271058606,0.35386708076303086,0.25907637809191947,-1.3018769901271905,-16.77597271058606
albert-base-v2_batch2-train,reductionMultiBlockCG_batch2-cuda_samples,300.0,300.0,2,80.0,40.0,66.66666666666667,33.333333333333336,70.0,30.0,56.843,3.603,53.24,4.98087699012719,177.77344,0.38242492093455177,2.3390954169797142,-1.3778769901271901,-124.53343999999998
albert-base-v2_batch2-train,resnet-50_batch2-inf,300.0,300.0,2,80.0,40.0,66.66666666666667,33.333333333333336,70.0,30.0,34.132,3.672,30.46,4.98087699012719,52.67105010726058,0.3564479820607816,0.7291874624839322,-1.3088769901271902,-22.211050107260576
albert-base-v2_batch2-train,resnet-50_batch2-train,300.0,300.0,2,80.0,40.0,66.66666666666667,33.333333333333336,70.0,30.0,21.433,3.637,17.796,4.98087699012719,30.013618896435663,0.3695015095208112,0.6865373621283245,-1.3438769901271903,-12.217618896435663
