workload1,workload2,w1_optimal_percentage,w2_optimal_percentage,max_xput_sum,w1_throughput_at_optimal,w2_throughput_at_optimal
albert-base-v2_batch2-train,albert-base-v2_batch2-train,30.0,70.0,0.8786252637362639,0.584795,0.29383026373626403
bert-base-cased_batch2-inf,albert-base-v2_batch2-train,30.0,70.0,0.487309571428572,0.195236,0.29207357142857204
albert-base-v2_batch2-train,bert-base-cased_batch2-train,30.0,70.0,0.899530967032968,0.585823,0.313707967032968
cudaTensorCoreGemm_batch2-cuda_samples,albert-base-v2_batch2-train,30.0,70.0,0.366889483516484,0.071541,0.29534848351648396
fastWalshTransform_batch2-cuda_samples,albert-base-v2_batch2-train,30.0,70.0,0.41405242857143204,0.108202,0.305850428571432
albert-base-v2_batch2-train,mobilenet_batch2-train,30.0,70.0,0.599719494505496,0.578704,0.021015494505496
mobilenet_v2_1.0_224_batch2-inf,albert-base-v2_batch2-train,30.0,70.0,0.30798443956043997,0.015443,0.29254143956044
reductionMultiBlockCG_batch2-cuda_samples,albert-base-v2_batch2-train,30.0,70.0,0.31795902197802406,0.018783,0.29917602197802406
resnet-50_batch2-inf,albert-base-v2_batch2-train,40.0,60.0,0.39065392307692404,0.026002,0.364651923076924
albert-base-v2_batch2-train,resnet-50_batch2-train,30.0,70.0,0.628975384615388,0.588928,0.040047384615387996
sortingNetworks_batch2-cuda_samples,albert-base-v2_batch2-train,30.0,70.0,0.395753,0.093791,0.301962
transpose_batch2-cuda_samples,albert-base-v2_batch2-train,30.0,70.0,0.322027252747256,0.020421,0.301606252747256
vit-base-patch16-224_batch2-inf,albert-base-v2_batch2-train,30.0,70.0,0.38198992307692403,0.090868,0.291121923076924
albert-base-v2_batch2-train,vit_h_14_batch2-train,30.0,70.0,1.71267907692308,0.597015,1.11566407692308
wav2vec2-base-960h_batch2-inf,albert-base-v2_batch2-train,30.0,70.0,0.5930356923076959,0.300481,0.29255469230769593
whisper-large-v2_batch2-inf,albert-base-v2_batch2-train,30.0,70.0,5.613684153846156,5.319149,0.29453515384615603
bert-base-cased_batch2-inf,bert-base-cased_batch2-inf,30.0,70.0,0.2879560989011,0.192976,0.0949800989011
bert-base-cased_batch2-inf,bert-base-cased_batch2-train,30.0,70.0,0.5076032857142879,0.195656,0.3119472857142879
cudaTensorCoreGemm_batch2-cuda_samples,bert-base-cased_batch2-inf,30.0,70.0,0.1687660989011,0.072401,0.0963650989011
fastWalshTransform_batch2-cuda_samples,bert-base-cased_batch2-inf,30.0,70.0,0.208723967032968,0.107388,0.101335967032968
bert-base-cased_batch2-inf,mobilenet_batch2-train,30.0,70.0,0.21275178021978022,0.191608,0.02114378021978022
bert-base-cased_batch2-inf,mobilenet_v2_1.0_224_batch2-inf,30.0,70.0,0.20186161538461536,0.188822,0.013039615384615384
reductionMultiBlockCG_batch2-cuda_samples,bert-base-cased_batch2-inf,30.0,70.0,0.115358846153848,0.018017,0.097341846153848
bert-base-cased_batch2-inf,resnet-50_batch2-inf,30.0,70.0,0.211683000000003,0.190006,0.021677000000003003
bert-base-cased_batch2-inf,resnet-50_batch2-train,30.0,70.0,0.23593678021978398,0.195963,0.039973780219784
sortingNetworks_batch2-cuda_samples,bert-base-cased_batch2-inf,30.0,70.0,0.192337725274728,0.09331,0.099027725274728
transpose_batch2-cuda_samples,bert-base-cased_batch2-inf,30.0,70.0,0.118694274725276,0.020128,0.09856627472527599
bert-base-cased_batch2-inf,vit-base-patch16-224_batch2-inf,30.0,70.0,0.238372043956044,0.190949,0.047423043956044
bert-base-cased_batch2-inf,vit_h_14_batch2-train,30.0,70.0,1.2932179010989038,0.196464,1.0967539010989038
bert-base-cased_batch2-inf,wav2vec2-base-960h_batch2-inf,30.0,70.0,0.34268808791208805,0.192345,0.15034308791208803
bert-base-cased_batch2-inf,whisper-large-v2_batch2-inf,30.0,70.0,2.694477571428572,0.192827,2.501650571428572
bert-base-cased_batch2-train,bert-base-cased_batch2-train,30.0,70.0,0.929371494505496,0.615006,0.314365494505496
cudaTensorCoreGemm_batch2-cuda_samples,bert-base-cased_batch2-train,30.0,70.0,0.387918670329672,0.07354,0.314378670329672
fastWalshTransform_batch2-cuda_samples,bert-base-cased_batch2-train,30.0,70.0,0.4361846593406601,0.108472,0.3277126593406601
