Workload1,Workload2,Workload3,Thread_combination,w1_percentage,w2_percentage,w3_percentage,weight_Throughput_sum,Power,PowerCap,selected_model_freq
vit-base-patch16-224_batch2-inf,wav2vec2-base-960h_batch2-inf,whisper-large-v2_batch2-inf,"(w1_50, w2_25, w3_25)",50,25,25,43.59,93.19223744292238,100,freq900
vit-base-patch16-224_batch2-inf,vit_h_14_batch2-train,wav2vec2-base-960h_batch2-inf,"(w1_50, w2_25, w3_25)",50,25,25,44.102,93.37729071537292,100,freq900
vit-base-patch16-224_batch2-inf,vit_h_14_batch2-train,whisper-large-v2_batch2-inf,"(w1_50, w2_25, w3_25)",50,25,25,37.316,93.84432267884324,100,freq900
resnet-50_batch2-inf,wav2vec2-base-960h_batch2-inf,whisper-large-v2_batch2-inf,"(w1_40, w2_30, w3_30)",40,30,30,78.76299999999999,94.48876712328769,100,freq900
resnet-50_batch2-inf,vit-base-patch16-224_batch2-inf,wav2vec2-base-960h_batch2-inf,"(w1_30, w2_35, w3_35)",30,35,35,108.04599999999999,94.17476407914764,100,freq900
resnet-50_batch2-inf,vit-base-patch16-224_batch2-inf,whisper-large-v2_batch2-inf,"(w1_20, w2_40, w3_40)",20,40,40,82.348,93.82782343987824,100,freq900
resnet-50_batch2-inf,vit-base-patch16-224_batch2-inf,vit_h_14_batch2-train,"(w1_20, w2_40, w3_40)",20,40,40,83.387,94.03132420091325,100,freq900
resnet-50_batch2-inf,resnet-50_batch2-train,wav2vec2-base-960h_batch2-inf,"(w1_40, w2_30, w3_30)",40,30,30,138.242,93.96652968036528,100,freq900
resnet-50_batch2-inf,resnet-50_batch2-train,vit-base-patch16-224_batch2-inf,"(w1_20, w2_40, w3_40)",20,40,40,160.135,92.9590410958904,100,freq900
resnet-50_batch2-inf,resnet-50_batch2-train,whisper-large-v2_batch2-inf,"(w1_30, w2_35, w3_35)",30,35,35,113.23100000000001,94.55931506849316,100,freq1530
resnet-50_batch2-inf,resnet-50_batch2-train,vit_h_14_batch2-train,"(w1_20, w2_40, w3_40)",20,40,40,111.585,94.63745814307458,100,freq1530
resnet-50_batch2-inf,vit_h_14_batch2-train,wav2vec2-base-960h_batch2-inf,"(w1_40, w2_30, w3_30)",40,30,30,79.623,94.55158295281583,100,freq900
resnet-50_batch2-inf,vit_h_14_batch2-train,whisper-large-v2_batch2-inf,"(w1_40, w2_30, w3_30)",40,30,30,67.509,94.08575342465753,100,freq900
mobilenet_v2_1.0_224_batch2-inf,wav2vec2-base-960h_batch2-inf,whisper-large-v2_batch2-inf,"(w1_20, w2_40, w3_40)",20,40,40,91.188,95.0389193302892,100,freq900
mobilenet_v2_1.0_224_batch2-inf,vit-base-patch16-224_batch2-inf,wav2vec2-base-960h_batch2-inf,"(w1_20, w2_40, w3_40)",20,40,40,123.097,94.51092846270927,100,freq900
mobilenet_v2_1.0_224_batch2-inf,vit-base-patch16-224_batch2-inf,whisper-large-v2_batch2-inf,"(w1_20, w2_40, w3_40)",20,40,40,110.049,93.1579604261796,100,freq900
mobilenet_v2_1.0_224_batch2-inf,vit-base-patch16-224_batch2-inf,vit_h_14_batch2-train,"(w1_20, w2_40, w3_40)",20,40,40,110.361,94.10298325722982,100,freq900
mobilenet_v2_1.0_224_batch2-inf,resnet-50_batch2-inf,wav2vec2-base-960h_batch2-inf,"(w1_20, w2_40, w3_40)",20,40,40,161.395,93.95226788432268,100,freq1530
mobilenet_v2_1.0_224_batch2-inf,resnet-50_batch2-inf,vit-base-patch16-224_batch2-inf,"(w1_10, w2_45, w3_45)",10,45,45,189.91,92.0868797564688,100,freq1530
mobilenet_v2_1.0_224_batch2-inf,resnet-50_batch2-inf,resnet-50_batch2-train,"(w1_20, w2_40, w3_40)",20,40,40,197.99,94.41875379939208,100,freq1530
mobilenet_v2_1.0_224_batch2-inf,resnet-50_batch2-inf,whisper-large-v2_batch2-inf,"(w1_10, w2_45, w3_45)",10,45,45,141.476,94.60036474164134,100,freq1530
mobilenet_v2_1.0_224_batch2-inf,resnet-50_batch2-inf,vit_h_14_batch2-train,"(w1_20, w2_40, w3_40)",20,40,40,147.159,94.90360730593608,100,freq1530
mobilenet_v2_1.0_224_batch2-inf,resnet-50_batch2-train,wav2vec2-base-960h_batch2-inf,"(w1_20, w2_40, w3_40)",20,40,40,149.732,94.58339421613394,100,freq900
mobilenet_v2_1.0_224_batch2-inf,resnet-50_batch2-train,vit-base-patch16-224_batch2-inf,"(w1_20, w2_40, w3_40)",20,40,40,170.712,90.98884498480244,100,freq900
mobilenet_v2_1.0_224_batch2-inf,resnet-50_batch2-train,whisper-large-v2_batch2-inf,"(w1_10, w2_45, w3_45)",10,45,45,126.042,95.01261796042616,100,freq1530
mobilenet_v2_1.0_224_batch2-inf,resnet-50_batch2-train,vit_h_14_batch2-train,"(w1_20, w2_40, w3_40)",20,40,40,130.481,95.56697108066972,100,freq1530
mobilenet_v2_1.0_224_batch2-inf,vit_h_14_batch2-train,wav2vec2-base-960h_batch2-inf,"(w1_30, w2_35, w3_35)",30,35,35,94.05000000000001,95.32517503805175,100,freq900
mobilenet_v2_1.0_224_batch2-inf,vit_h_14_batch2-train,whisper-large-v2_batch2-inf,"(w1_20, w2_40, w3_40)",20,40,40,78.003,95.90473363774734,100,freq900
bert-base-cased_batch2-train,wav2vec2-base-960h_batch2-inf,whisper-large-v2_batch2-inf,"(w1_30, w2_40, w3_30)",30,40,30,13.97,96.15459665144596,100,freq300
bert-base-cased_batch2-train,vit-base-patch16-224_batch2-inf,wav2vec2-base-960h_batch2-inf,"(w1_30, w2_40, w3_30)",30,40,30,40.318,95.83728244274808,100,freq900
bert-base-cased_batch2-train,vit-base-patch16-224_batch2-inf,whisper-large-v2_batch2-inf,"(w1_30, w2_40, w3_30)",30,40,30,32.619,93.99619482496196,100,freq900
bert-base-cased_batch2-train,vit-base-patch16-224_batch2-inf,vit_h_14_batch2-train,"(w1_30, w2_40, w3_30)",30,40,30,32.646,93.467701674277,100,freq900
bert-base-cased_batch2-train,resnet-50_batch2-inf,wav2vec2-base-960h_batch2-inf,"(w1_30, w2_40, w3_30)",30,40,30,80.811,94.74245053272448,100,freq900
bert-base-cased_batch2-train,resnet-50_batch2-inf,vit-base-patch16-224_batch2-inf,"(w1_30, w2_40, w3_30)",30,40,30,105.527,94.9422222222222,100,freq900
bert-base-cased_batch2-train,resnet-50_batch2-inf,resnet-50_batch2-train,"(w1_35, w2_30, w3_35)",35,30,35,121.56899999999999,94.72246951219512,100,freq1530
bert-base-cased_batch2-train,resnet-50_batch2-inf,whisper-large-v2_batch2-inf,"(w1_30, w2_40, w3_30)",30,40,30,73.122,94.30758778625956,100,freq900
