Workload1,Workload2,workload_online,workload_offline,Thread_combination,weight_Throughput_sum,Power,Duration,Energy,selected_model_freq,online_smact,estimated_offline_smact,estimated_offline_partition,ThreadCombination_online_offline,Weighted_Thruput_Online_Offline,estimated_best_partition_throughput,actual_best_partition_throughput,estimated_to_actual_ratio,w1_optimal_percentage,w2_optimal_percentage
wav2vec2-base-960h_batch2-inf,whisper-large-v2_batch2-inf,wav2vec2-base-960h_batch2-inf,whisper-large-v2_batch2-inf,"(w1_90, w2_10)",24.208,94.36327731092436,298.448,28181.42387,freq300,86.78608695652174,13.213913043478257,10,"(online_90, offline_10)",24.208,24.208,24.208,1.0,90,10
mobilenet_v2_1.0_224_batch2-inf,vit_h_14_batch2-train,mobilenet_v2_1.0_224_batch2-inf,vit_h_14_batch2-train,"(w1_10, w2_90)",68.582,94.79150753768845,299.337,28394.38444,freq900,5.037234042553193,94.9627659574468,90,"(online_10, offline_90)",68.582,68.582,87.93499999999999,0.7799169841360096,10,90
bert-base-cased_batch2-train,vit-base-patch16-224_batch2-inf,vit-base-patch16-224_batch2-inf,bert-base-cased_batch2-train,"(w1_60, w2_40)",38.147,92.51643216080402,299.589,27736.0254,freq900,44.15744680851064,55.84255319148936,60,"(online_40, offline_60)",38.147,38.147,72.62,0.5252960616909942,60,40
resnet-50_batch2-train,whisper-large-v2_batch2-inf,whisper-large-v2_batch2-inf,resnet-50_batch2-train,"(w1_10, w2_90)",24.069000000000003,93.67558724832216,299.003,28028.84599,freq900,91.29999999999998,8.700000000000017,10,"(online_90, offline_10)",24.069000000000003,24.069000000000003,56.669,0.4247295699588841,10,90
vit_h_14_batch2-train,whisper-large-v2_batch2-inf,whisper-large-v2_batch2-inf,vit_h_14_batch2-train,"(w1_10, w2_90)",1.661,93.5129411764706,298.62,27943.81138,freq300,94.74271844660193,5.257281553398073,10,"(online_90, offline_10)",1.661,1.661,3.0410000000000004,0.5462019072673462,10,90
albert-base-v2_batch2-train,resnet-50_batch2-train,resnet-50_batch2-train,albert-base-v2_batch2-train,"(w1_80, w2_20)",47.911,96.28890756302522,298.58,28769.62471,freq900,20.560416666666665,79.43958333333333,80,"(online_20, offline_80)",47.911,47.911,66.146,0.7243219544643668,80,20
wav2vec2-base-960h_batch2-inf,wav2vec2-base-960h_batch2-inf,wav2vec2-base-960h_batch2-inf,wav2vec2-base-960h_batch2-inf,"(w1_90, w2_10)",27.218,94.91324958123953,299.387,28435.36513,freq300,86.78608695652174,13.213913043478257,10,"(online_90, offline_10)",27.218,27.218,27.728,0.981607039815349,90,10
vit-base-patch16-224_batch2-inf,wav2vec2-base-960h_batch2-inf,vit-base-patch16-224_batch2-inf,wav2vec2-base-960h_batch2-inf,"(w1_40, w2_60)",48.922,95.29604690117256,299.318,28543.47047,freq900,44.15744680851064,55.84255319148936,60,"(online_40, offline_60)",48.922,48.922,73.914,0.6618773168817815,40,60
vit-base-patch16-224_batch2-inf,vit-base-patch16-224_batch2-inf,vit-base-patch16-224_batch2-inf,vit-base-patch16-224_batch2-inf,"(w1_40, w2_60)",87.47200000000001,94.00075376884423,299.225,28146.28974,freq900,44.15744680851064,55.84255319148936,60,"(online_40, offline_60)",87.47200000000001,87.47200000000001,92.903,0.9415411773570284,40,60
vit-base-patch16-224_batch2-inf,whisper-large-v2_batch2-inf,vit-base-patch16-224_batch2-inf,whisper-large-v2_batch2-inf,"(w1_40, w2_60)",31.41,94.0101669449082,300.445,28263.66463,freq900,44.15744680851064,55.84255319148936,60,"(online_40, offline_60)",31.41,31.41,68.349,0.4595531756133959,40,60
